program_id,unit_id,quantitative,year,keterangan,satuan
74,1,99,2022,,2
74,1,149,2023,,2
74,1,199,2024,,2
130,1,2,2022,,3
130,1,2,2023,,3
130,1,2,2024,,3
137,1,4,2022,,4
137,1,4,2023,,4
137,1,4,2024,,4
163,1,250,2022,250 Bandar Udara di 34 Provinsi,5
163,1,251,2023,251 Bandar Udara di 34 Provinsi,5
163,1,251,2024,251 Bandar Udara di 34 Provinsi,5
93,1,396,2022,321 Batas Desa dan 75 Batas Kelurahan,6
93,1,450,2023,350 Batas Desa dan 100 Batas Kelurahan,6
93,1,625,2024,500 Batas Desa dan 125 Batas Kelurahan,6
157,1,224,2022,215 Bendungan untuk Peta Sebaran Lokasi Bendungan Eksisting dan 9 Bendungan Peta Sebaran lokasi Bendungan Rencana,7
157,1,13,2023, Peta Sebaran lokasi Bendungan Rencana,7
157,1,5,2024, Peta Sebaran lokasi Bendungan Rencana,7
87,1,500,2022,,8
87,1,3000,2023,,8
87,1,3000,2024,,8
88,1,1000,2023,,8
88,1,1000,2024,,8
89,1,500000,2023,,8
89,1,500000,2024,,8
149,1,6,2022,,9
149,1,5,2023,"Papua, Papua Barat, Papua Merauke, Sulawesi Barat, dan Bangka Belitung (5 BWS)",9
149,1,37,2024,25 BWS dan 12 BBWS (Seluruh Wilayah Indonesia),10
49,1,5,2022,,11
49,1,5,2023,,11
49,1,5,2024,,11
69,1,2899,2022,"155 Danau, 416 Situ, 2328 Embung",12
69,1,2899,2023,"155 Danau, 416 Situ, 2328 Embung",12
69,1,2899,2024,"155 Danau, 416 Situ, 2328 Embung",12
103,1,2500000,2022,,13
103,1,10000000,2023,,13
103,1,24000000,2024,,13
105,1,200000,2022,,13
105,1,150000,2023,,13
105,1,150000,2024,,13
25,1,27,2022,25 K/L dan 2 Pilot Project Pemetaan,14
25,1,18,2023,18 K/L dan Pilot Project,14
70,1,120,2022,,15
70,1,190,2023,,15
70,1,230,2024,,15
80,1,5,2022,,15
80,1,3,2023,,15
80,1,3,2024,,15
83,1,40,2020,,15
110,1,96,2022,,16
110,1,105,2023,,16
110,1,114,2024,,16
111,1,1,2023,,16
111,1,1,2024,,16
95,1,152,2022,,17
95,1,152,2023,,17
95,1,152,2024,,17
120,1,1,2024,1 Kepmenhan untuk 1 Provinsi,18
133,1,5,2022,Pemutakhiran Gunung Api Secara Nasional,19
133,1,3,2023,Pemutakhiran Gunung Api Secara Nasional,19
133,1,1,2024,Pemutakhiran Gunung Api Secara Nasional,19
134,1,1,2022,,19
134,1,4,2023,,19
134,1,4,2024,,19
136,1,2,2022,,19
136,1,4,2023,,19
136,1,4,2024,,19
82,1,1,2023,,20
82,1,1,2024,,21
82,1,1,2022,,22
44,1,1,2023,,23
44,1,1,2024,,23
50,1,3,2022,,23
50,1,3,2023,,23
50,1,4,2024,,23
56,1,10,2022,,23
56,1,12,2023,,23
56,1,5,2024,,23
150,1,886,2022,,23
150,1,886,2023,,23
150,1,886,2024,,23
96,1,1,2022,,24
96,1,1,2023,,24
96,1,1,2024,,24
97,1,1,2022,,24
97,1,1,2023,,24
97,1,1,2024,,24
126,1,1,2022,Jalur Pipa Gas Bumi secara Nasional,24
126,1,1,2023,Jalur Pipa Gas Bumi secara Nasional,24
126,1,1,2024,Jalur Pipa Gas Bumi secara Nasional,24
132,1,1,2022,Pemutakhiran wilayah peta hidrogeologi secara Nasional setiap tahun (tidak ada perubahan informasi/data statis),24
132,1,1,2023,Pemutakhiran wilayah peta hidrogeologi secara Nasional setiap tahun (tidak ada perubahan informasi/data statis),24
132,1,1,2024,Pemutakhiran wilayah peta hidrogeologi secara Nasional setiap tahun (tidak ada perubahan informasi/data statis),24
