id,bulan,tahun,renaksi_id,target_waktu,status_kegiatan
1,8,2021,1,Bulan Agustus (B08),4
2,8,2021,2,Bulan Agustus (B08),4
3,8,2021,3,Bulan Agustus (B08),4
4,8,2021,4,Bulan Agustus (B08),4
5,8,2021,5,Bulan Agustus (B08),4
6,8,2021,6,Bulan Agustus (B08),4
7,8,2021,7,Bulan Agustus (B08),4
8,12,2024,8,Seluruh wilayah Indonesia (34 Provinsi) Bulan Desember (B12) 2024,4
9,5,2021,9,Seluruh wilayah Indonesia (34 Provinsi) Bulan Mei (B05) 2021 dengan dukungan Peta Laut Indonesia,4
10,10,2022,10,Seluruh wilayah Indonesia (34 Provinsi) Bulan Oktober (B10) 2022 dengan dukungan Peta Laut Indonesia,4
11,8,2021,11,"Seluruh wilayah Indonesia yang belum tersedia CSRST Bulan Bulan Agustus (B08) 2021 Pemutakhiran CSRST wilayah Indonesia, setiap tahun",4
12,10,2022,12,"Wilayah pulau terluar, Bulan Oktober (B10) 2022",4
13,12,2023,13,Seluruh wilayah Indonesia (34 Provinsi)Bulan Desember (B12) 2023,4
14,9,2024,14,Seluruh wilayah Indonesia (34 Provinsi) Bulan September (B09) 2024,4
15,8,2021,15,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Kompilasi Bulan Agustus (B08) 2021,4
16,9,2021,15,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Integrasi Bulan September (B09) 2021,4
17,12,0,15,Pemutakhiran Bulan Desember (B12) setiap tahun,4
18,8,2021,16,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Kompilasi Bulan Agustus (B08) 2021,4
19,9,2021,16,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Integrasi Bulan September (B09) 2021,4
20,12,0,16,Pemutakhiran Bulan Desember (B12) setiap tahun,4
21,8,2021,17,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Kompilasi Bulan Agustus (B08) 2021,4
22,9,2021,17,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Integrasi Bulan September (B09) 2021,4
23,12,0,17,Pemutakhiran Bulan Desember (B12) setiap tahun,4
24,8,2021,18,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Kompilasi Bulan Agustus (B08) 2021,4
25,9,2021,18,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Integrasi Bulan September (B09) 2021,4
26,12,0,18,Pemutakhiran Bulan Desember (B12) setiap tahun,4
27,9,2021,19,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Bulan September (B09) 2021 tersedia peta kerja indikatif Batas Kewenangan Pengelolaan Sumber Daya Laut Provinsi,4
28,12,2021,19,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Integrasi Bulan Desember (B12) 2021,4
29,8,2021,19,Pemutakhiran setiap Bulan Agustus (B08) 2021 dan Bulan Desember (B12),4
30,12,2021,19,Pemutakhiran setiap Bulan Agustus (B08) 2021 dan Bulan Desember (B12),4
31,8,2021,20,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Kompilasi Bulan Agustus (B08) 2021,4
32,9,2021,20,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Integrasi Bulan September (B09) 2021,4
33,3,0,20,"Pemutakhiran Bulan Maret (B03), Bulan Agustus (B08), Bulan September (B09) dan Desember (B12) setiap tahun",4
34,8,0,20,"Pemutakhiran Bulan Maret (B03), Bulan Agustus (B08), Bulan September (B09) dan Desember (B12) setiap tahun",4
35,9,0,20,"Pemutakhiran Bulan Maret (B03), Bulan Agustus (B08), Bulan September (B09) dan Desember (B12) setiap tahun",4
36,12,0,20,"Pemutakhiran Bulan Maret (B03), Bulan Agustus (B08), Bulan September (B09) dan Desember (B12) setiap tahun",4
37,8,2021,21,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Kompilasi Bulan Agustus (B08) 2021,4
38,12,2021,21,IGT yang tersedia saat ini untuk seluruh wilayah Indonesia: Integrasi Bulan Desember (B12) 2021,4
