"id","tahapan_id","sub_tahapan_id","program","kode_kegiatan","judul_kegiatan","keluaran","kode_kl","nama_kl","status_id","user_id","updated_by","penilaian","catatan_akhir","target_kuantitatif","capaian_kuantitatif","created_at","updated_at","satuan"
1,1,NULL,"Penetapan Walidata IGT","0001","Penetapan Walidata IGT pada Kementerian/ Lembaga","Keputusan Penetapan Walidata IGT",83,"Badan Informasi Geospasial (BIG)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1,NULL,"Penetapan Kelompok Kerja Nasional (POKJA) IGT","0002","Penetapan POKJA IGT","Keputusan Penetapan POKJA IGT",83,"Badan Informasi Geospasial (BIG)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1,NULL,"Penetapan Mekanisme dan Tata Kerja Sekretariat Tim Percepatan Kebijakan Satu Peta","0003","Penyusunan Mekanisme dan Tata Kerja Sekretariat Tim Percepatan Kebijakan Satu Peta","Peraturan mengenai Mekanisme dan Tata Kerja Sekretariat Tim PKSP",35,"Kementerian Koordinator Bidang Perekonomian (Kemenko Perekonomian)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1,NULL,"Penetapan Mekanisme dan Tata Kerja Pembuatan IGT","0004","Penyusunan Mekanisme dan Tata Kerja pembuatan IGT","Mekanisme dan Tata Kerja pembuatan IGT",0,"Walidata IGT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,NULL,"Penyusunan Mekanisme dan Tata Kerja Kegiatan Kompilasi dan Integrasi Pelaksanaan Kebijakan Satu Peta","0005","Penyusunan Mekanisme dan Tata Kerja Kegiatan Kompilasi dan Integrasi Pelaksanaan Kebijakan Satu Peta","Peraturan Kepala BIG tentang Mekanisme dan Tata Kerja Kegiatan Kompilasi dan Integrasi Pelaksanaan Kebijakan Satu Peta ",83,"Badan Informasi Geospasial (BIG)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,NULL,"Penyusunan Mekanisme dan Tata Kerja Peta Batas Kecamatan dan Kelurahan ","0006","Menyusun Mekanisme dan Tata Kerja Peta Batas Kecamatan dan Kelurahan","Peraturan Menteri Dalam Negeri",10,"Kementerian Dalam Negeri (Kemendagri)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1,NULL,"Penyusunan Mekanisme dan Tata Kerja Berbagi Pakai Data dan IG Kebijakan Satu Peta","0007","Menyusun Mekanisme dan Tata Kerja Berbagi Pakai Data dan IG Kebijakan Satu Peta","Peraturan Kepala BIG tentang Mekanisme Tata Kerja dan Berbagi Pakai Data dan IG Kebijakan Satu Peta",83,"Badan Informasi Geospasial (BIG)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,2,NULL,"Perwujudan Peta Dasar","0008","Mewujudkan tersedianya Peta Rupa Bumi Indonesia (RBI)","Peta RBI skala 1:5.000",83,"Badan Informasi Geospasial (BIG)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,2,NULL,"Perwujudan Peta Dasar","0008","Mewujudkan tersedianya Peta Rupa Bumi Indonesia (RBI)","Peta RBI skala 1:50.000",83,"Badan Informasi Geospasial (BIG)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,2,NULL,"Perwujudan Peta Dasar","0008","Mewujudkan tersedianya Peta Rupa Bumi Indonesia (RBI)","Peta RBI skala 1:250.000",83,"Badan Informasi Geospasial (BIG)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
